ID,year,title,abstract
US-2008189009-A1,2008,Method and apparatus to monitor ambient sensing devices ,A system and method comprises operating an engine during a first cycle to drive a piston in a cylinder without energizing a fuel injector of the cylinder; acquiring first pressure data of the cylinder for a predetermined crank angle window during the first cycle; energizing the fuel injector for an energizing time during a second cycle; acquiring second pressure data of the cylinder for the predetermined crank angle window during the second cycle; calculating a pressure ratio difference average (PRDA) from the first pressure data and the second pressure data; and modifying the operation of the fuel injector based on the PRDA value.
US-7533524-B2,2009,Method and apparatus for soot filter catalyst temperature control with oxygen flow constraint ,"A method for adjusting fuel injection quantities in an internal combustion engine configured to operate multi-pulse fuel injections in a cylinder of the engine includes monitoring in-cylinder pressure, determining a burnt fuel mass for main combustion based upon the in-cylinder pressure, determining a burnt fuel mass for post combustion based upon the in-cylinder pressure, determining a main fuel quantity offset based upon the burnt fuel mass for main combustion, determining a post fuel quantity offset based upon the burnt fuel mass for post combustion, and controlling fuel injections into the cylinder based upon the main fuel quantity offset and the post fuel quantity offset."
US-6497227-B2,2002,System for diagnosing fault conditions associated with an air handling system for an internal combustion engine ,"An engine assembly includes an engine, a compressor, a turbine and a waste gate valve. A controller has a processor and a tangible, non-transitory memory on which is recorded instructions for executing a method of air path control based on an air path model. The controller is configured to determine a turbine power (Pt) as a function of a first factor (x1) and a second factor (x2). A compressor power (Pc) is determined as a function of a third factor (y1) and a fourth factor (y2). The controller is configured to control at least one of an intake throttle pressure (pth) and an intake manifold pressure (pi) by varying at least one of the first through fourth factors (x1, x2, y1, y2). The engine output is controlled based on at least one of the intake throttle and manifold pressures."
US-6837226-B2,2005,"System for diagnosing EGR valve, actuator and sensor related failure conditions ","A system for diagnosing an air handling mechanism of an internal combustion engine includes an air handling mechanism actuator, an air handling mechanism position sensor, a sensor associated with an engine operating condition separate from the air handling mechanism yet responsive to changes in the position of the mechanism actuator, and a control computer. The control computer is responsive to the position sensor signal and the engine operating condition sensor to diagnose faults/failure conditions associated with any of the air handling mechanism, the mechanism position sensor and the mechanism actuator. The air handling mechanism may be any of an EGR valve, a variable geometry turbocharger, a wastegate valve and an exhaust throttle, and the engine operating condition sensor may be associate with any of air intake pressure, air intake temperature, mass flow rate of intake air, exhaust gas pressure, EGR mass flow rate or turbocharger speed."
US-7761223-B2,2010,Fuel system diagnostics by analyzing engine cylinder pressure signal and crankshaft speed signal ,"A vehicle includes an engine, an air intake assembly having a variable geometry turbine (VGT) controllable using a turbine mass flow map, an exhaust manifold, and a controller. The controller calculates a pressure ratio between the inlet and outlet sides of the VGT, and first and second exhaust manifold pressures using respective first and second models. Each of the models extracts information from the map. The controller executes a control action using the first pressure when the ratio exceeds a threshold, using the second pressure otherwise. The controller itself is also disclosed herein, as is a method for controlling an engine operation aboard the vehicle. The method includes using the host machine to calculate the exhaust pressure ratio, to calculate the first and second pressures using the respective first and second models, and to execute a control action using the first or second exhaust pressure depending on the ratio."
US-2012173118-A1,2012,"Control of egr, fresh mass air flow, and boost pressure for internal combustion engines ","A system is disclosed for diagnosing EGR flow rate operation in an internal combustion engine includes an intake manifold and an exhaust manifold coupled to the engine and an EGR conduit for recirculating exhaust gas from the exhaust manifold to the intake manifold. Means are provided for determining an EGR fraction corresponding to a fractional amount of recirculated exhaust gas in a total air charge supplied to the intake manifold. A control computer is configured to continually accumulate at least one EGR fraction error sum as a function of the EGR fraction and a desired EGR fraction, and to diagnose EGR flow rate operation as a function of the accumulated value of the at least one EGR fraction error sum."
US-2010083636-A1,2010,System and methods to detect non-urea reductant filled in a urea tank ,"A system for estimating turbocharger compressor outlet temperature includes an engine controller responsive to any two of corrected turbocharger speed, corrected fresh mass air flow and turbocharger compressor pressure ratio (compressor outlet pressure/compressor inlet pressure) to compute compressor outlet temperature based on a corresponding compressor outlet temperature model."
US-6363318-B1,2002,Method to compensate errors in engine speed measurement ,"There is provided a method and apparatus for controlling operation of an internal combustion engine, comprising controlling engine torque during regeneration of an exhaust aftertreatment system. This comprises controlling post-injection of fuel into a combustion chamber effective to regenerate an exhaust aftertreatment device. Main fuel injection into each combustion chamber and boost are selectively controlled effective to maintain engine output torque."
US-6467469-B2,2002,EGR valve position control system ,"The present invention gathers and processes engine speed and position information gathered during cranking, without fuel injection or combustion, in order to derive a set of parameters that are shown to correlate very well with the presence of cylinder compression leakage. Using engine speed and position information from, for example, camshaft gear targets, crankshaft tonewheels, or the flywheel itself, etc., a parameter designated as &#34;metric distance&#34; between adjacent firing cylinder speed fluctuation pulses is determined. For engines with well-balanced cylinder compression, the values of the metric distances measured between all cylinders should be close to each other within a certain threshold. If a cylinder exhibits leakage, the metric distance of the cylinder from its adjacent firing cylinders will significantly exceed the threshold, thereby detecting a leaking cylinder. The method of the present invention also provides a relative estimation of the percentage compression loss from the leaking cylinder. This provides valuable information for service personnel to quickly determine the cause of engine delivering low power. In addition to the service application of the present invention, the present invention may also be used on a continuous or semi-continuous basis (for example, each engine startup) to provide a degree of prognostics or early warning of worsening cylinder compression balance."
US-2011023456-A1,2011,Method and system for verifying the operation of an scr catalyst ,A system according to the principles of the present disclosure includes a boost control module and a temperature estimation module. The boost control module generates a wastegate command signal to control a position of a wastegate and thereby adjust an amount of exhaust gas allowed to bypass a turbine of a turbocharger through the wastegate. The temperature estimation module estimates at least one of a first temperature downstream from the turbine and a second temperature upstream from the turbine based on the wastegate command signal.
US-2009259383-A1,2009,Fuel system diagnostics by analyzing cylinder pressure signal ,"A method for controlling a malfunction catalyst diagnostic test that determines a malfunction status of a catalyst within a selective catalytic reduction device includes monitoring an exhaust gas flow within an aftertreatment system, estimating an effect of the exhaust gas flow on an estimated reductant storage on a catalyst within the selective catalytic reduction device, and selectively disabling the malfunction catalyst diagnostic test based upon the estimating the effect of the exhaust gas flow on the estimated reductant storage."
US-2010218487-A1,2010,Model-based diagnostics of nox sensor malfunction for selective catalyst reduction system ,"A sensor failure accommodation system includes a control computer receiving a sensor signal corresponding to an engine operating condition, and estimating a value of the engine operating condition as a function of one or more engine operating parameters different than the engine operating condition. The computer is operable to control one or more air handling mechanisms as a function of a final engine operating condition value, and if the sensor producing the engine operating condition signal is error free the final engine operating condition value is the engine operating condition signal. If the sensor producing the engine operating condition signal has failed, the final engine operating condition value is the engine operating condition estimate, and if at least one sensor producing the one or more engine operating parameters has also failed, the final engine operating condition value is a commanded or other definable engine operating condition value."
US-2010043400-A1,2010,Aftertreatment device nox conversion efficiency diagnostics using on board adaptive diagnostic algorithm ,Technical features are described for an emissions control system for a motor vehicle that includes an internal combustion engine are described. The emissions control system includes a selective catalytic reduction (SCR) device fluidically including an SCR inlet and an SCR outlet. The emissions control system further includes a controller that computes a correction factor for a kinetics model of the SCR device based on an amount of NO and an amount of NOx in the emissions control system. The controller further predicts an amount of NOx output by the SCR device using the kinetics model and the correction factor. The controller further inputs an amount of catalyst into the SCR device based on the predicted amount of NOx. The correction factor is a ratio of the amount of NO and the amount of NOx at the SCR inlet.
US-2013024089-A1,2013,Engine-out nox virtual sensor using cylinder pressure sensor ,"A method for determining a cylinder air charge for an internal combustion engine includes determining engine operating parameters including an intake air charge density, an engine delta pressure as a ratio of an intake manifold pressure to an exhaust pressure, and an engine speed. An open-throttle volumetric efficiency corresponding to the engine operating parameters is determined, and a closed-throttle volumetric efficiency corresponding to the engine operating parameters is also determined. The cylinder air charge is determined using a selected one of the open-throttle volumetric efficiency and the closed-throttle volumetric efficiency."
US-2008078167-A1,2008,Method and apparatus for controlling engine operation during regeneration of an exhaust aftertreatment system ,
US-2012085082-A1,2012,System and method for detecting low quality reductant and catalyst degradation in selective catalytic reduction systems ,"A system and method for diagnosing EGR system and EGR cooler faults evaluates a temperature signal generated by a sensor at the EGR cooler, such as a coolant or gas temperature sensor. An engine control module includes an on-board EGR diagnosis unit and DSP that reads the EGR cooler temperature signals over a predetermined time period or sample points, and generates a symmetric signal. A discrete fast Fourier transform is applied to the symmetric signal to develop values for the spectral magnitude and phase angle of a primary frequency component of the signal. These values can be compared to respective predetermined threshold values to determine whether a fault condition has occurred in the EGR system or EGR cooler. In an alternative embodiment, the DSP operates in the time domain to determine a signal power value for the change in cooler temperature signal over a predetermined time period. This signal power value can be compared against one or more threshold values to determine the health of the EGR system and cooler. In a further alternative embodiment, a temperature difference between the coolant temperature measured by the EGR cooler temperature sensor when the EGR valve is opened is compared to a baseline EGR cooler temperature value. Over successive cycles, this temperature difference is compared to various threshold values indicative of an EGR fault, an EGR cooler fault or a cooler failure."
US-7343735-B2,2008,Apparatus and method for regenerating an exhaust gas aftertreatment component of an internal combustion engine ,"The invention provides a software method to correct for non-fuel injection induced errors in measured engine speed. This invention provides a means to calculate a least squares regression of the measured engine speed data when the engine is motoring without combustion or load. The motoring test is to avoid the effect of unbalanced cylinder power, thus detecting only the static errors in engine speed measurements. Recognizing that the average cylinder speed should form a straight line within an engine cycle, the lease squares regression of the measured speed data therefore represents the theoretical performance of the engine. A residual between this theoretical performance and the actual measured engine speed can therefore be determined. A table of mean residuals which are averages of individual residuals measured in consecutive engine cycles is constructed for each engine at a reference engine speed. The mean residuals are convertible to other operating speed ranges of the engine and can be subtracted from the engine speed measurements to remove the static errors. This mean residual table is stored as a look-up table in the memory associated with the engine control module (ECM) microprocessor and can be implemented within the software code being executed by the ECM microprocessor."
US-6230095-B1,2001,System and method for cylinder power imbalance prognostics and diagnostics ,A method that includes in-vehicle systems and practices for determining whether a NOx sensor in an exhaust stream is performing properly.
US-2012191325-A1,2012,Injection fuel and load balancing control system ,"A method for correcting main fuel injection quantities in an internal combustion engine in a plurality of cylinders of the engine includes monitoring a desired fuel injection quantity for the plurality of cylinders, monitoring an in-cylinder pressure for each of the cylinders, determining a burnt fuel mass resulting from a main fuel injection for each of the cylinders based upon the in-cylinder pressures, determining a fuel injection quantity correction for each of the cylinders based upon the burnt fuel masses, and controlling fuel injections into the plurality of cylinders based upon the desired fuel injection quantity and the fuel injection quantity correction for each of the cylinders."
US-2008104946-A1,2008,Optimized desulfation trigger control for an adsorber ,"A system, method, and software for regenerating an adsorber connected with a flow of exhaust from an engine. An open-loop control module for ramping up and maintaining a temperature value of an adsorber to a regeneration temperature value by controlling an air fuel ratio value of an engine to operate at an open-loop controlled variable duty cycle. A closed-loop control module is operable to take control from the open-loop control module to maintain the adsorber at the regeneration temperature value if the temperature value of the adsorber deviates from the regeneration temperature value by controlling the air fuel ratio value of the engine to operate at a closed-loop controlled variable duty cycle."
US-2008216557-A1,2008,Method and apparatus for estimating exhaust temperature of an internal combustion engine ,"The present invention relates to a structure of dustproof bag used in a clean room, and more particularly to a structure of dustproof bag that can be used to bring a general article into the clean room, comprising a bag body and at least a glove body. The hollow bag body has at least a pocket hole. Each pocket hole is equipped with a sealing unit capable of opening or closing selectively. The glove body is installed on the bag body and extends into the interior of the bag body. Each glove body has a sleeve hole communicated with the exterior environment, allowing the article to be placed in the dustproof bag and the palm of the user to enter into the bag body from the glove body to handle the article, such as putting books printed on general non-dustproof paper and pen into the interior of body bag so that the user may operate the article in the clean room to promote largely the convenience for reading and writing and to reduce the cost of usage."
US-2010170244-A1,2010,Robust multiple input multiple output control in a high variability system ,"A system and method for the diagnosis and prognosis of cylinder power imbalance in an internal combustion engine utilizes cylinder firing times to determine a differential value indicative of the power imbalance. This differential value identifies a cylinder power imbalance condition and can be used in a one dimensional or a two dimensional analysis to predict future engine performance. In one embodiment, a trend parameter is calculated from the differential values over several test sequences at periodic mileage of the vehicle. The rate and magnitude of change or deterioration of the engine performance is indicated by the trend parameter. In another embodiment, a two dimensional trend array is evaluated using singular value decomposition to arrive at an eigenvalue transformation matrix used to obtain two trend variables related to the two principal eigenvalues at a particular engine operating hour/mileage. In one specific embodiment, the two trend variables are converted to polar coordinates in which the polar radius ρ is indicative of the severity of the imbalance condition and the polar angle θ is indicative of the cause or of a change of cause for the engine power imbalance."
US-8209979-B2,2012,Model-based control of airpath pressure limits by modulating a turbo charger by-pass valve and a variable-geometry turbine ,"A system for estimating absolute boost pressure in a turbocharged internal combustion engine includes a pressure sensor producing a pressure signal indicative of the pressure of air entering a turbocharger compressor inlet, a temperature sensor producing a temperature signal indicative of the temperature entering the compressor inlet, a first speed sensor producing a first speed signal indicative of the rotational speed of the turbocharger, a second speed sensor producing a second speed signal indicative of the rotational speed of the engine, and a control computer estimating the absolute boost pressure as a function of the pressure signal, the temperature signal, the first speed signal and the second speed signal."
US-7707826-B2,2010,System for controlling triggering of adsorber regeneration ,"An EGR valve position control system includes an EGR valve manager responsive to an EGR valve command to drive an EGR valve actuator. The EGR valve manager is operable to schedule control gains as a function of valve actuation direction to provide for faster response during valve closing events. Valve closing events are also staged such that a large valve position step is followed by a steady ramp to the valve closed position to thereby prevent damage to the valve and/or valve seat. The EGR valve manager further includes a prioritized switching feature for strategically switching between closed and open loop control modes, and a forward gain adjustment feature responsive to battery voltage to maintain constant system DC gain under changing battery voltage conditions."
US-2010043397-A1,2010,On board diagnostic monitor of nox conversion efficiency for aftertreatment device ,"A method to control an internal combustion engine includes operating the engine with a fuel blend of a first fuel and a second fuel, monitoring a value of a first combustion parameter during engine operation, monitoring a first value for a second combustion parameter during engine operation, determining a second value for the second combustion parameter in accordance with a predetermined correspondence among the first combustion parameter, the second combustion parameter, and a predetermined fuel blend of the first fuel and the second fuel, determining the fuel blend based upon a difference between the first and second values for the second combustion parameter, and controlling the engine based upon the fuel blend."
US-8301356-B2,2012,Engine out NOx virtual sensor using cylinder pressure sensor ,A method and control system for a selective catalytic reduction (SCR) catalytic converter and an ammonia dosing module that stores ammonia in a selective catalyst reducing (SCR) catalyst and that depletes the ammonia level by discontinuing or reducing dosing. The control system also includes an SCR conversion efficiency module that determines an SCR efficiency. An SCR efficiency comparison module compares the SCR efficiency to an efficiency threshold and generates a fault indicator when the SCR efficiency is not above the efficiency threshold.
US-2011224886-A1,2011,On-board fuel property detection using pattern recognition and power spectral analysis of cylinder pressure signal ,"A method is disclosed for controlling a two-stage turbocharger system having low-pressure and high-pressure turbochargers in line, sequentially, with an engine. The turbochargers include a low-pressure (LP) turbine and an LP compressor, and a high-pressure (HP) turbine and an HP compressor. The LP compressor feeds the HP compressor, which feeds the engine intake. The engine exhaust feeds the HP turbine, which feeds the LP turbine. The method determines a total boost pressure, which provides combustion reactant for the engine. The method calculates an LP compressor power from the determined total boost pressure, and an LP turbine flow from the LP compressor power. The low-pressure turbocharger operates at the calculated LP turbine flow. The method calculates an HP compressor power from the determined total boost pressure, and an HP turbine flow from the HP compressor power. The high-pressure turbocharger operates at the calculated HP turbine flow."
US-2009312932-A1,2009,Fuel system diagnostics by analyzing engine crankshaft speed signal ,A vehicle propulsion system includes an internal combustion engine configured to output a primary output torque and at least one fuel injector arranged to supply fuel to a combustion chamber of the engine. The propulsion system also includes at least one exhaust aftertreatment device to capture combustion byproducts within an exhaust flow. The propulsion system also includes an electric machine coupled to the engine to exchange torque. A controller is programmed to supply a baseline fuel injection corresponding to a first engine output to satisfy a driver torque demand and to periodically supplement the baseline target fuel injection quantity to increase engine output torque to overshoot the first engine output thereby increasing combustion byproducts to regenerate the at least one exhaust aftertreatment device. The controller is also programmed to apply a resistive torque from the electric machine such that an overall propulsion system torque remains at the driver torque demand.
US-2011208408-A1,2011,Adaptive diesel engine control for cetane variations ,"A system for diagnosing operation of a delta pressure sensor used with an internal combustion engine comprises an intake manifold and an exhaust manifold each operatively coupled to the engine, an EGR conduit fluidly coupled between the intake and exhaust manifolds, and a flow restriction mechanism disposed in-line with the EGR conduit, wherein the delta pressure sensor produces a delta pressure signal indicative of a pressure differential across the flow restriction mechanism. A control computer compares the delta pressure signal to a modeled delta pressure value modeled as a function of at least engine speed and one of engine load and engine output torque percentage, and diagnoses a fault state of the delta pressure sensor based on the comparison."
US-2010089362-A1,2010,Method to control fuel injector pulsewidth in a compression-ignition engine ,A method for monitoring operation of a variable geometry turbocharger device includes monitoring exhaust gas pressure and vane position of the variable geometry turbocharger device. Exhaust pressure and vane position are estimated. Residual exhaust pressure and vane position are calculated based upon differences between the estimated and monitored exhaust gas pressures and vane positions. The turbocharger is determined operating properly based upon the exhaust pressure residual and the vane position residual.
US-6055852-A,2000,Method and apparatus for estimation of relative cylinder compression balance by cranking speed analysis ,"A system according to the principles of the present disclosure includes a target turbocharger position module and a turbocharger control module. The target turbocharger position module determines a target position of a turbocharger based on a relationship between power generated by a compressor of the turbocharger, inertia of a shaft in a turbine of the turbocharger, and power generated by the turbine. The target turbocharger position includes at least one of a target vane position and a target wastegate position. The turbocharger control module controls the turbocharger based on the target turbocharger position."
US-6925376-B2,2005,System for diagnosing operation of a cooling system for an internal combustion engine ,"An internal combustion engine operating at a lean air/fuel ratio includes a reductant injection system configured to dispense reductant into an exhaust gas feedstream upstream of a selective catalytic reduction device. The reductant injection system includes a reductant delivery system fluidly coupled to a reductant dispensing device that is configured to dispense the reductant. A method for monitoring the reductant injection system includes commanding the reductant dispensing device to dispense reductant at a prescribed reductant flowrate, controlling the reductant delivery system to a preferred operating state, monitoring operation of the reductant delivery system and estimating a reductant flowrate as a function of the monitored operation of the reductant delivery system, and diagnosing operation of the reductant injection system as a function of the prescribed reductant flowrate and the estimated reductant flowrate."
US-2016146130-A1,2016,Method of feedforward turbocharger control for boosted engines with multi-route egr ,A system and method for detecting a misfire condition for a cylinder of an internal combustion engine is based upon the firing times for each cylinder and a comparison of firing times between successive cylinders in the engine firing sequence. A differential firing time parameter represents the result of this comparison and is used a passive test to determine whether a particular cylinder is misfiring. Cylinders identified in the passive test are subjected to an active test in which the cylinder is overfueled by increasing amounts for each engine cycle after commencement of the active misfire test. The change in differential firing parameter for the identified resulting from the overfueling is compared to an active test threshold value indicative of an expected change for a healthy cylinder. A cylinder falling outside this active threshold value is determined to be a bad cylinder.
US-7593828-B2,2009,Method and apparatus for monitoring a variable geometry intake air compressor device ,"A system for estimating turbocharger rotational speed includes a first pressure sensor producing a first pressure signal indicative of the pressure of air supplied by a turbocharger compressor to an intake manifold of an internal combustion engine, a second pressure sensor producing a second pressure signal indicative of the pressure of air entering the turbocharger compressor, a temperature sensor producing a temperature signal indicative of the temperature entering the compressor, a speed sensor producing a speed signal indicative of the rotational speed of the engine, and a control computer estimating the turbocharger rotational speed as a function of the first pressure signal, the second pressure signal, the temperature signal and the speed signal."
US-2009299605-A1,2009,Fuel ignition quality detection ,An engine control system comprises a fuel diagnostic module and a fuel control module. The fuel diagnostic module determines a pressure-ratio difference average (PRDA) based on a pressure in at least one cylinder and determines a cetane number (CN) of a fuel based on the PRDA. The fuel control module actuates fuel injectors based on the CN.
US-2010023240-A1,2010,Method for controlling combustion noise in a compression-ignition engine ,"One embodiment is a method including interpreting a static decoupling gain set for a gas flow handling system having a plurality of inputs and a plurality of outputs. The static decoupling gain set includes gain value sets, where each gain value set decouples the plurality of inputs from the plurality of outputs at a frequency of interest and specified system operating condition of the gas flow handling system. The method further includes calculating an error term based on at least one of the inputs and a current value corresponding to one of the outputs. The method further includes providing an adjusted controller gain in response to a current system operating condition and the static decoupling gain set, and determining actuator responses based on the adjusted controller gain and the at least one error term."
US-2012031384-A1,2012,Method and apparatus for operating a compression ignition engine ,"A method for controlling an internal combustion engine includes monitoring engine operation including a parameter descriptive of NOx generation within the engine, determining a fast transient NOx estimate with a dynamic model based upon the monitored engine operation, and during a fast transient engine operation including an increase in an operating state of the engine and a substantial closing of an exhaust gas recirculation valve, controlling an engine system based upon the fast transient NOx estimate."
US-2012024270-A1,2012,Method of model-based multivariable control of egr and boost for internal combustion engines ,"An engine includes an exhaust gas recirculation system, an air throttle system, and a charging system. A method to control the engine includes monitoring desired operating target commands for each of the systems; monitoring operating parameters of the air charging system; and determining a feedback control signal for each of the systems based upon the respective desired operating target commands and the operating parameters of the air charging system. Exhaust gas recirculation flow in the exhaust gas recirculation system, air flow in the air throttle system and a turbine power parameter in the air charging system are determined based upon the respective feedback control signals for each of the systems. A system control command is determined for each of the systems based upon the respective exhaust gas recirculation flow, air flow and turbine power parameters. The air charging system is controlled based upon the system control commands for each of the systems."
US-2012291534-A1,2012,Method and apparatus to determine a cylinder air charge for an internal combustion engine ,"A system, method, and software for triggering regeneration of an adsorber connected with a flow of exhaust from an engine. An exhaust sulfur flow rate module estimates a sulfur accumulation rate associated with an adsorber as a function of a flow of fuel. A sulfur removal rate module estimates a sulfur removal rate associated with the adsorber. An accumulated sulfur loading module includes a counter the value of which is increased as a function of the sulfur accumulation rate and decreased as a function of the sulfur removal rate. A combustion manager module controls an engine to regenerate the adsorber once the counter reaches an upper threshold value."
US-7594392-B2,2009,System for controlling adsorber regeneration ,"An internal combustion engine includes an air charging system. A method to control the air charging system includes providing a desired operating target command for the air charging system, and monitoring operating parameters of the air charging system. An error between the desired operating target command for the air charging system and the corresponding one of said operating parameters of the air charging system is determined, and scheduled PID gains are determined based on the error utilizing a PID controller. An adaptive algorithm is applied to modify the scheduled PID gains, and a system control command for the air charging system is determined based upon the modified scheduled PID gains. The air charging system is controlled based upon the system control command for the air charging system."
